名称	部件	掉落遗物	杜卡德金币
螺钉双枪Prime	连接器	后纪H4（罕见）, 前纪E2（罕见）, 古纪S7（罕见）, 中纪B6（罕见）, 中纪N8（罕见）, 古纪W1（罕见）, 中纪K2（罕见）	100
螺钉双枪Prime	枪机	前纪A2（稀有）, 中纪A2（稀有）, 后纪A3（稀有）, 后纪A12（稀有）, 后纪A4（稀有）	45
野马双枪Prime	蓝图	中纪V11（常见）, 古纪P6（常见）, 中纪P6（常见）, 古纪T8（常见）, 古纪Z1（常见）, 中纪D3（常见）, 古纪S2（常见）, 古纪R4（常见）, 古纪K9（常见）, 前纪B6（常见）, 后纪S16（常见）, 中纪N15（常见）, 古纪A8（常见）, 后纪S11（常见）, 古纪Z2（常见）, 后纪A10（常见）, 中纪W2（常见）, 中纪T2（常见）, 前纪P17（常见）, 中纪M2（常见）, 前纪S3（常见）, 前纪O1（常见）, 古纪V5（常见）, 前纪G9（常见）, 古纪S3（常见）, 前纪A5（常见）, 古纪T1（常见）, 古纪B11（常见）	15
野马双枪Prime	连接器	后纪C11（罕见）, 后纪A9（罕见）, 前纪O2（罕见）, 古纪C13（罕见）, 后纪L5（罕见）, 古纪N1（罕见）, 后纪C5（罕见）, 后纪S1（罕见）, 后纪A18（罕见）, 中纪L2（罕见）, 中纪Z7（罕见）, 中纪V10（罕见）, 中纪O3（罕见）, 前纪E6（罕见）, 古纪H7（罕见）, 古纪A2（罕见）, 前纪R1（罕见）, 前纪P13（罕见）, 后纪K8（罕见）, 古纪S5（罕见）	100
觉醒双枪Prime	枪管	中纪A9（稀有）, 古纪A3（稀有）, 中纪A3（稀有）, 前纪A1（稀有）, 中纪A6（稀有）	45
觉醒双枪Prime	蓝图	中纪S9（常见）, 后纪B4（常见）, 前纪R3（常见）, 中纪Z5（常见）, 古纪M4（常见）, 古纪P7（常见）, 后纪M3（常见）, 前纪D4（常见）, 后纪P1（常见）	15
觉醒双枪Prime	连接器	前纪B7（罕见）, 中纪R5（罕见）, 后纪R3（罕见）, 前纪Z3（罕见）, 古纪P3（罕见）, 前纪N9（罕见）, 前纪M2（罕见）	100
觉醒双枪Prime	枪机	前纪L2（罕见）, 后纪L3（罕见）, 中纪Z3（罕见）, 中纪P1（罕见）, 中纪I1（罕见）, 古纪M6（罕见）, 古纪N9（罕见）	100
雷克斯双枪Prime	蓝图	后纪A2（罕见）, 中纪O1（罕见）	100
雷克斯双枪Prime	连接器	后纪A2（稀有）	45
麦格努斯双枪Prime	蓝图	后纪M5（常见）	15
麦格努斯双枪Prime	连接器	后纪M5（罕见）	100
轻灵月神双枪Prime	枪管	前纪S10（罕见）, 古纪B7（罕见）, 中纪S16（罕见）, 前纪D6（罕见）, 中纪Z5（罕见）	100
轻灵月神双枪Prime	蓝图	中纪I3（常见）, 前纪R2（常见）, 后纪B4（常见）, 古纪N8（常见）, 古纪B8（常见）, 后纪G6（常见）, 中纪N13（常见）, 中纪R4（常见）	15
轻灵月神双枪Prime	连接器	后纪A14（稀有）, 后纪A15（稀有）, 后纪A8（稀有）, 后纪A10（稀有）, 后纪A13（稀有）	45
轻灵月神双枪Prime	枪机	中纪B7（常见）, 后纪G4（常见）, 中纪T5（常见）, 古纪N6（常见）, 中纪P2（常见）, 后纪D2（常见）, 古纪K6（常见）, 后纪W1（常见）, 后纪S13（常见）	15
史提托双枪Prime	枪管	前纪K1（罕见）, 后纪A1（罕见）, 古纪A5（罕见）, 前纪V6（常见）, 古纪H1（罕见）, 后纪H2（罕见）	100
史提托双枪Prime	蓝图	中纪A4（稀有）, 中纪A1（稀有）, 中纪A7（稀有）, 古纪A2（稀有）, 古纪A1（稀有）	45
史提托双枪Prime	连接器	中纪N5（罕见）, 中纪D6（罕见）, 古纪V7（罕见）, 前纪O1（罕见）, 后纪N1（罕见）	100
史提托双枪Prime	枪机	后纪K1（罕见）, 后纪A7（常见）, 后纪H1（罕见）, 后纪O1（罕见）, 前纪T6（罕见）, 后纪T1（罕见）	100
瓦斯托双枪Prime	蓝图	后纪A5（稀有）	45
瓦斯托双枪Prime	连接器	后纪A5（罕见）	100
电幻步枪Prime	枪管	古纪N18（罕见）	100
电幻步枪Prime	蓝图	前纪A10（稀有）, 后纪A20（稀有）	45
电幻步枪Prime	枪机	后纪V14（常见）, 中纪P9（常见）	15
电幻步枪Prime	枪托	前纪A9（稀有）	45
甲龙双拳Prime	刀刃	后纪R1（罕见）, 中纪G6（罕见）, 后纪S3（罕见）	100
甲龙双拳Prime	蓝图	古纪B1（常见）, 古纪B4（常见）, 古纪E1（常见）	15
甲龙双拳Prime	拳套	前纪S14（常见）, 中纪R1（常见）, 前纪M1（常见）	15
Ash Prime	蓝图	后纪I3（罕见）, 先锋E1（罕见）, 古纪V7（罕见）, 前纪S3（罕见）, 古纪S3（罕见）, 前纪C1（罕见）	100
Ash Prime	机体蓝图	后纪K12（常见）, 先锋M1（常见）, 前纪V2（常见）, 后纪B1（常见）, 中纪N4（常见）, 古纪V8（常见）	15
Ash Prime	头部神经光元蓝图	中纪A4（罕见）, 先锋P1（常见）, 中纪V4（罕见）, 后纪N2（罕见）, 中纪N3（罕见）, 前纪N2（罕见）, 前纪V4（罕见）, 前纪P12（罕见）	100
Ash Prime	系统蓝图	后纪A7（稀有）, 中纪A10（稀有）, 中纪N5（罕见）, 先锋C1（罕见）, 后纪N1（稀有）	45
碎裂者Prime	枪管	古纪A4（稀有）, 前纪A3（稀有）, 前纪A6（稀有）, 中纪A8（稀有）	45
碎裂者Prime	蓝图	中纪T4（罕见）, 前纪R5（罕见）, 前纪I2（罕见）, 前纪H3（罕见）, 后纪G7（罕见）, 古纪T11（罕见）, 后纪N9（罕见）	100
碎裂者Prime	枪机	古纪N8（常见）, 中纪S15（常见）, 中纪T6（常见）, 后纪N7（常见）, 古纪N12（常见）, 古纪B10（常见）, 古纪H3（常见）, 前纪C10（常见）	15
碎裂者Prime	枪托	古纪T8（罕见）, 中纪P3（罕见）, 古纪K9（罕见）, 后纪V11（罕见）, 古纪N11（罕见）, 前纪T5（罕见）, 前纪N13（罕见）	100
Atlas Prime	蓝图	古纪M5（常见）, 古纪P5（常见）, 古纪V9（常见）, 中纪Z7（常见）, 古纪P3（常见）, 古纪K6（常见）, 古纪D1（常见）	15
Atlas Prime	机体蓝图	古纪B8（罕见）, 中纪T3（罕见）, 中纪M3（罕见）, 中纪E2（罕见）, 中纪A7（罕见）, 前纪E3（罕见）, 后纪B3（罕见）	100
Atlas Prime	头部神经光元蓝图	后纪A6（稀有）, 后纪A9（稀有）, 后纪A11（稀有）, 古纪A5（稀有）, 中纪A5（稀有）	45
Atlas Prime	系统蓝图	前纪G2（罕见）, 前纪C4（罕见）, 中纪N15（罕见）, 后纪F1（罕见）, 中纪A3（罕见）, 古纪N4（罕见）, 前纪I1（罕见）	100
布里斯提卡Prime	蓝图	前纪B7（稀有）, 古纪B2（稀有）, 古纪B3（稀有）, 古纪B5（稀有）, 古纪B6（稀有）	45
布里斯提卡Prime	下弓臂	古纪O1（常见）, 后纪V6（常见）, 中纪B5（常见）, 前纪A1（常见）, 前纪M3（常见）, 中纪H3（常见）, 后纪K5（常见）	15
布里斯提卡Prime	枪机	古纪R1（罕见）, 前纪P1（罕见）, 古纪P2（罕见）, 中纪H2（罕见）, 中纪S7（罕见）, 中纪L1（罕见）	100
布里斯提卡Prime	弓弦	前纪G1（罕见）, 前纪R1（罕见）, 中纪A6（罕见）, 后纪A4（罕见）	100
布里斯提卡Prime	上弓臂	前纪S8（罕见）, 中纪N10（罕见）, 后纪M3（罕见）, 古纪V5（罕见）, 古纪T1（罕见）	100
Banshee Prime	蓝图	后纪K3（罕见）, 中纪H1（罕见）, 中纪V7（罕见）, 中纪N7（罕见）, 前纪T2（罕见）, 前纪E5（罕见）, 后纪C3（罕见）, 后纪A12（罕见）, 中纪T1（罕见）	100
Banshee Prime	机体蓝图	中纪B1（稀有）, 中纪B2（稀有）, 中纪B6（稀有）, 前纪B2（稀有）	45
Banshee Prime	头部神经光元蓝图	后纪H5（常见）, 古纪M7（常见）, 中纪S7（常见）, 古纪B5（常见）, 前纪S4（常见）, 古纪V5（常见）, 中纪K2（常见）	15
Banshee Prime	系统蓝图	后纪B2（稀有）, 中纪B5（稀有）, 古纪K5（罕见）, 中纪B4（稀有）, 后纪B1（稀有）	45
Baruuk Prime	蓝图	前纪B8（稀有）, 后纪B9（稀有）, 古纪B10（稀有）, 前纪B9（稀有）, 古纪B11（稀有）	45
Baruuk Prime	机体蓝图	中纪N23（罕见）, 古纪T13（罕见）, 古纪N15（罕见）, 中纪S17（罕见）, 古纪P8（罕见）, 前纪V9（罕见）, 中纪K7（罕见）, 中纪A8（罕见）	100
Baruuk Prime	头部神经光元蓝图	中纪B9（稀有）, 后纪B7（稀有）, 后纪B9（罕见）, 后纪B8（稀有）, 后纪B5（稀有）, 后纪B6（稀有）	45
Baruuk Prime	系统蓝图	前纪H7（常见）, 中纪P8（常见）, 前纪R5（常见）, 前纪H6（常见）, 前纪H4（常见）, 前纪P14（常见）, 后纪W3（常见）, 后纪P7（常见）	15
苍鹰Prime	枪管	中纪I3（罕见）, 古纪A4（罕见）, 中纪N15（罕见）, 后纪I2（罕见）, 古纪W2（罕见）, 后纪Z1（罕见）, 古纪S10（罕见）	100
苍鹰Prime	蓝图	前纪B4（稀有）, 古纪B7（稀有）, 后纪B4（稀有）, 古纪B8（稀有）, 前纪B5（稀有）, 后纪S13（罕见）	45
苍鹰Prime	枪机	前纪P2（常见）, 后纪A15（常见）, 古纪K7（常见）, 中纪R3（常见）, 后纪N7（常见）, 后纪W2（常见）, 前纪E4（常见）, 前纪C6（常见）	15
苍鹰Prime	枪托	古纪B9（稀有）, 前纪B6（稀有）, 中纪B7（稀有）, 后纪B3（稀有）	45
玻之武杖Prime	蓝图	古纪O2（常见）, 古纪G2（常见）	15
玻之武杖Prime	握柄	中纪V8（罕见）, 中纪F1（罕见）	100
玻之武杖Prime	饰物	后纪L4（常见）, 前纪E1（常见）	15
野猪Prime	枪管	古纪M2（罕见）, 后纪V2（罕见）, 前纪M1（罕见）, 后纪D4（罕见）	100
野猪Prime	蓝图	前纪F4（罕见）, 中纪N9（常见）, 中纪D1（常见）, 中纪B3（常见）	15
野猪Prime	枪机	古纪L4（常见）, 后纪S4（常见）, 后纪R1（常见）, 古纪M1（常见）	15
野猪Prime	枪托	古纪B1（稀有）, 前纪B3（稀有）, 前纪B1（稀有）, 中纪B8（稀有）	45
螺钉步枪Prime	枪管	前纪N6（常见）, 古纪E1（常见）, 前纪M1（常见）	15
螺钉步枪Prime	蓝图	前纪B10（稀有）, 古纪B4（稀有）, 中纪B3（稀有）	45
螺钉步枪Prime	枪机	古纪B1（罕见）, 中纪G6（罕见）, 中纪R1（罕见）	100
螺钉步枪Prime	枪托	后纪R1（常见）, 后纪R4（常见）, 后纪S3（常见）	15
布莱顿Prime	枪管	中纪C7（常见）, 后纪C11（常见）, 前纪R4（常见）, 前纪P4（常见）, 古纪K2（常见）, 后纪A17（常见）, 前纪S5（常见）, 古纪N16（常见）, 古纪C11（常见）, 古纪K9（常见）, 古纪T13（常见）, 前纪G1（常见）, 前纪N14（常见）, 古纪H4（常见）, 后纪N6（常见）, 前纪P10（常见）, 古纪P4（常见）, 中纪D4（常见）, 后纪C5（常见）, 中纪A1（常见）, 前纪H7（常见）, 中纪N11（常见）, 古纪A8（常见）, 古纪C9（常见）, 中纪B5（常见）, 中纪T9（常见）, 中纪T5（常见）, 古纪N14（常见）, 前纪V6（常见）, 中纪F2（常见）, 中纪A7（常见）, 前纪O6（常见）, 前纪N3（常见）, 古纪S8（常见）, 后纪A3（常见）, 前纪S15（常见）, 古纪A1（常见）, 中纪K2（常见）	15
布莱顿Prime	蓝图	前纪D8（常见）, 前纪V13（常见）, 古纪N7（常见）, 后纪A16（常见）, 古纪G13（常见）, 后纪G11（罕见）, 后纪V6（常见）, 后纪A7（常见）, 古纪T6（常见）, 古纪R4（常见）, 古纪Y1（常见）, 后纪K6（常见）, 后纪L2（常见）, 后纪T4（常见）, 前纪P6（常见）, 中纪B7（常见）, 古纪X1（罕见）, 后纪B9（常见）, 后纪D1（常见）, 后纪O6（常见）, 中纪Z6（常见）, 中纪T3（常见）, 后纪G8（常见）, 后纪C4（常见）, 古纪S17（罕见）, 后纪C2（常见）, 中纪D6（常见）, 前纪B9（常见）, 古纪V3（常见）, 后纪D2（常见）, 前纪Z2（常见）, 前纪V11（常见）, 前纪V1（罕见）, 前纪S9（常见）, 前纪R1（常见）, 古纪S12（罕见）, 古纪C3（罕见）, 前纪B2（常见）, 古纪T2（罕见）, 古纪N3（罕见）, 古纪B11（罕见）, 后纪K5（常见）, 古纪N17（常见）, 后纪S13（常见）, 后纪N1（常见）	15
布莱顿Prime	枪机	前纪X1（常见）, 古纪Z3（常见）, 古纪B9（罕见）, 后纪V5（罕见）, 古纪H8（常见）, 后纪S17（罕见）, 古纪K2（罕见）, 前纪P2（常见）, 古纪P1（罕见）, 古纪B2（罕见）, 后纪N6（罕见）, 后纪H7（常见）, 前纪A4（罕见）, 中纪N19（常见）, 古纪V9（罕见）, 中纪N14（罕见）, 后纪H6（罕见）, 中纪X1（罕见）, 中纪V10（常见）, 中纪P4（罕见）, 古纪K8（常见）, 后纪V2（罕见）, 中纪K3（罕见）, 前纪N13（常见）, 后纪C9（常见）, 后纪V3（罕见）, 后纪N8（常见）, 古纪N5（罕见）, 中纪A11（罕见）, 后纪K10（罕见）, 古纪L2（罕见）, 古纪C6（罕见）	15
布莱顿Prime	枪托	古纪N18（常见）, 古纪K12（常见）, 前纪G8（常见）, 前纪M5（常见）, 后纪A6（常见）, 前纪D3（常见）, 前纪R6（常见）, 中纪B2（常见）, 前纪T1（常见）, 中纪S16（常见）, 古纪G9（罕见）, 前纪A7（罕见）, 前纪C4（常见）, 前纪S12（罕见）, 中纪D2（常见）, 后纪F3（常见）, 后纪A8（常见）, 后纪F1（常见）, 后纪E2（常见）, 后纪D3（常见）, 后纪G6（罕见）, 中纪S10（常见）, 中纪K4（罕见）, 中纪Z8（常见）, 中纪Z2（常见）, 后纪A1（常见）, 中纪T4（常见）, 古纪C4（罕见）, 中纪R2（常见）, 中纪P2（常见）, 中纪V2（常见）, 中纪D5（罕见）, 中纪R4（常见）, 古纪N10（常见）, 前纪N1（常见）, 中纪C2（常见）, 前纪P13（常见）, 前纪N5（常见）, 中纪N4（常见）, 前纪K3（常见）, 前纪C9（罕见）, 前纪P16（常见）, 古纪T3（常见）, 后纪P7（罕见）, 后纪A4（常见）	15
野马Prime	枪管	前纪D8（常见）, 前纪L4（罕见）, 古纪P9（罕见）, 后纪N10（罕见）, 中纪C6（常见）, 前纪V12（罕见）, 前纪N10（罕见）, 中纪V1（罕见）, 前纪R3（罕见）, 后纪F3（罕见）, 后纪E2（罕见）, 后纪N3（罕见）, 中纪S15（罕见）, 前纪Z4（罕见）, 中纪M2（罕见）, 后纪W2（罕见）, 后纪S10（罕见）, 中纪G9（罕见）, 古纪T10（罕见）, 后纪W3（罕见）	15
野马Prime	蓝图	古纪N18（常见）, 后纪C7（常见）, 中纪S9（常见）, 古纪A6（常见）, 中纪G8（常见）, 前纪E2（常见）, 后纪G12（常见）, 古纪P4（常见）, 古纪S1（常见）, 前纪A4（常见）, 古纪T7（常见）, 古纪N1（常见）, 后纪S1（常见）, 前纪C2（常见）, 中纪M1（常见）, 后纪P2（常见）, 前纪V5（常见）, 古纪D4（常见）, 后纪N2（常见）, 前纪N2（常见）, 古纪M6（常见）, 古纪N4（常见）, 前纪S2（常见）, 古纪K6（常见）, 后纪N9（常见）, 前纪P11（常见）, 前纪F5（常见）, 中纪A14（常见）, 古纪S12（常见）, 前纪N3（常见）, 后纪N8（常见）, 古纪V8（常见）, 古纪H1（常见）, 后纪P3（常见）	15
野马Prime	枪机	中纪N24（常见）, 前纪V13（常见）, 前纪B4（常见）, 中纪B1（常见）, 古纪L7（常见）, 古纪P5（常见）, 前纪S8（常见）, 前纪F1（常见）, 古纪Q1（常见）, 古纪O4（常见）, 古纪C13（常见）, 前纪P1（常见）, 后纪A19（常见）, 前纪S12（常见）, 后纪T10（常见）, 后纪M2（常见）, 中纪S11（常见）, 中纪S8（常见）, 后纪S1（常见）, 中纪N14（常见）, 古纪A8（常见）, 中纪Z3（常见）, 中纪V4（常见）, 古纪P8（常见）, 后纪T7（常见）, 中纪N6（常见）, 后纪F2（常见）, 中纪M3（常见）, 中纪K6（常见）, 古纪C2（常见）, 前纪P15（常见）, 前纪G4（常见）, 前纪E3（常见）, 前纪C8（常见）, 中纪G9（常见）, 中纪Z11（常见）, 后纪W1（常见）	15
伯斯顿Prime	枪管	前纪V13（罕见）, 前纪G2（罕见）, 古纪M10（罕见）, 古纪R1（罕见）, 古纪G8（罕见）, 中纪B1（罕见）, 中纪B9（罕见）, 古纪T6（罕见）, 中纪V5（罕见）, 前纪S8（罕见）, 古纪T8（罕见）, 古纪S14（罕见）, 古纪F2（罕见）, 古纪S13（罕见）, 中纪K8（罕见）, 后纪G3（罕见）, 古纪E1（罕见）, 后纪G4（罕见）, 中纪W2（罕见）, 中纪P5（罕见）, 古纪N12（罕见）, 古纪F3（罕见）, 古纪P3（罕见）, 前纪S13（罕见）, 前纪P12（罕见）, 后纪T2（罕见）, 中纪A11（罕见）, 古纪I1（罕见）, 后纪H3（罕见）, 后纪P3（罕见）, 后纪T1（罕见）, 后纪V13（罕见）	100
伯斯顿Prime	蓝图	中纪P10（常见）, 中纪K9（常见）, 古纪O1（常见）, 中纪N23（常见）, 前纪P4（常见）, 后纪G9（常见）, 后纪L5（常见）, 后纪S6（常见）, 古纪D6（常见）, 后纪G12（常见）, 前纪C5（常见）, 后纪M2（常见）, 后纪S19（常见）, 后纪B7（常见）, 古纪A10（常见）, 古纪B3（常见）, 中纪S6（常见）, 古纪P2（常见）, 后纪B8（常见）, 中纪R3（常见）, 前纪I2（常见）, 中纪L4（常见）, 中纪K3（常见）, 后纪T3（常见）, 后纪R4（常见）, 后纪C8（常见）, 中纪Z9（常见）, 后纪G7（常见）, 前纪V1（常见）, 前纪C7（常见）, 后纪K8（常见）, 前纪C6（常见）, 后纪K11（常见）, 中纪A6（常见）, 古纪S10（常见）, 中纪T1（常见）, 古纪T1（常见）, 后纪T11（常见）, 后纪M6（常见）	15
伯斯顿Prime	枪机	后纪Y3（常见）, 前纪A9（常见）, 前纪Z1（常见）, 古纪P6（常见）, 前纪B7（常见）, 中纪G3（常见）, 中纪H1（常见）, 中纪B9（常见）, 古纪A4（常见）, 前纪B10（常见）, 后纪A11（常见）, 古纪H6（常见）, 前纪T1（常见）, 后纪V11（常见）, 前纪L1（常见）, 前纪P7（常见）, 后纪N11（常见）, 古纪H10（常见）, 古纪V10（常见）, 中纪N17（常见）, 中纪S3（常见）, 古纪C4（常见）, 中纪K7（常见）, 中纪I2（常见）, 前纪H3（常见）, 中纪E3（常见）, 中纪E2（常见）, 古纪L6（常见）, 中纪Q1（常见）, 中纪M5（常见）, 古纪D1（常见）, 后纪G2（常见）, 古纪C8（常见）, 古纪S15（常见）, 古纪G12（常见）, 前纪A8（常见）, 古纪T9（常见）, 古纪S5（常见）, 古纪N3（常见）, 古纪G10（常见）, 后纪A13（常见）	15
伯斯顿Prime	枪托	古纪Q2（常见）, 后纪T13（常见）, 前纪L4（常见）, 前纪T8（常见）, 古纪G6（常见）, 前纪G7（常见）, 古纪M5（常见）, 前纪S5（常见）, 中纪A10（常见）, 前纪G10（常见）, 中纪Z5（常见）, 古纪B8（常见）, 中纪C5（常见）, 古纪W4（常见）, 中纪H2（常见）, 中纪Z4（常见）, 中纪V6（常见）, 中纪T6（常见）, 后纪G5（常见）, 前纪T7（常见）, 古纪K1（常见）, 前纪C3（常见）, 中纪P5（常见）, 前纪A3（常见）, 古纪R3（常见）, 前纪O5（常见）, 古纪S9（常见）, 古纪D3（常见）, 中纪M2（常见）, 中纪G5（常见）, 前纪S14（常见）, 中纪B4（常见）, 中纪N16（常见）, 前纪W2（常见）, 古纪N9（常见）, 前纪G6（常见）, 前纪N3（常见）, 中纪S2（常见）, 古纪T10（常见）, 古纪V1（常见）, 后纪O3（常见）	15
Caliban Prime	蓝图	前纪V15（罕见）, 前纪V13（罕见）, 先锋M1（常见）, 前纪V11（罕见）	100
Caliban Prime	机体蓝图	前纪V15（常见）, 古纪K12（常见）, 先锋P1（常见）, 前纪Y1（常见）	15
Caliban Prime	头部神经光元蓝图	中纪C7（稀有）, 古纪C13（稀有）, 先锋E1（罕见）	45
Caliban Prime	系统蓝图	后纪C11（稀有）, 先锋C1（稀有）, 后纪C10（稀有）	45
搬运者Prime	蓝图	中纪S3（常见）, 古纪V7（常见）, 前纪V4（常见）, 前纪V3（常见）, 前纪V1（常见）, 前纪P12（常见）	15
搬运者Prime	外壳	中纪A4（常见）, 古纪V10（罕见）, 后纪N2（常见）, 古纪S5（常见）, 中纪S1（常见）	15
搬运者Prime	头部	古纪C1（稀有）, 前纪C2（稀有）, 前纪V6（罕见）, 前纪C7（稀有）, 前纪N3（罕见）, 前纪C1（稀有）	45
搬运者Prime	系统	中纪V3（常见）, 后纪A7（常见）, 古纪S2（常见）, 后纪K12（常见）, 后纪V1（常见）, 中纪A1（常见）, 古纪S3（常见）, 古纪N2（常见）	15
塞多Prime	枪管	后纪D6（罕见）, 中纪T9（罕见）, 前纪Y1（罕见）	100
塞多Prime	蓝图	古纪C14（稀有）, 中纪C6（稀有）	45
塞多Prime	枪机	中纪P10（罕见）, 古纪K12（罕见）, 后纪M6（罕见）	100
塞多Prime	枪托	前纪E7（常见）, 后纪A20（常见）, 古纪A7（常见）, 中纪A14（常见）, 后纪S18（常见）	15
西诺斯Prime	蓝图	中纪V9（罕见）, 古纪Z1（罕见）, 中纪V7（罕见）, 后纪V4（罕见）, 中纪S13（罕见）, 古纪A2（罕见）, 后纪B1（罕见）	100
西诺斯Prime	弓身	后纪S8（常见）, 后纪K3（常见）, 中纪V6（常见）, 中纪V4（常见）, 前纪V5（常见）, 古纪V6（常见）, 后纪H3（常见）, 后纪S5（常见）	15
西诺斯Prime	下弓臂	古纪C7（稀有）, 后纪C1（稀有）, 前纪C3（稀有）, 后纪C2（稀有）, 古纪C2（稀有）, 古纪C5（稀有）	45
西诺斯Prime	弓弦	后纪V10（常见）, 前纪N8（罕见）, 古纪B3（罕见）, 中纪A1（罕见）, 前纪S6（罕见）, 后纪K2（罕见）, 前纪O1（罕见）, 后纪A3（罕见）	100
西诺斯Prime	上弓臂	前纪N11（常见）, 前纪O2（常见）, 前纪S7（常见）, 前纪K1（常见）, 后纪N4（常见）, 前纪N8（常见）, 前纪C2（常见）, 中纪N6（常见）, 古纪V3（常见）	15
Chroma Prime	蓝图	后纪A6（常见）, 前纪B4（常见）, 前纪P1（常见）, 后纪D1（常见）, 后纪G5（常见）, 前纪Z3（常见）, 后纪T5（常见）, 中纪K2（常见）	15
Chroma Prime	机体蓝图	后纪R2（罕见）, 前纪L1（罕见）, 前纪C5（罕见）, 中纪Z8（常见）, 前纪D4（罕见）, 前纪T3（罕见）, 前纪K2（罕见）	100
Chroma Prime	头部神经光元蓝图	古纪C4（稀有）, 古纪C8（稀有）, 古纪C3（稀有）	45
Chroma Prime	系统蓝图	前纪R4（罕见）, 中纪C1（稀有）, 前纪C4（稀有）, 后纪C4（稀有）, 后纪C3（稀有）	45
眼镜蛇&鹤Prime	刀刃	前纪R6（罕见）, 后纪G9（罕见）, 前纪N14（罕见）, 中纪G7（罕见）, 前纪W5（罕见）, 中纪F2（罕见）, 后纪L6（罕见）, 前纪H6（罕见）	100
眼镜蛇&鹤Prime	蓝图	古纪N15（罕见）, 后纪B9（罕见）, 中纪S18（罕见）, 前纪K5（罕见）, 后纪K11（罕见）, 古纪G10（罕见）	100
眼镜蛇&鹤Prime	护手	古纪C11（稀有）, 古纪C10（稀有）, 中纪C3（稀有）, 后纪C9（稀有）, 前纪C8（稀有）, 古纪C12（稀有）	45
眼镜蛇&鹤Prime	握柄	前纪G7（常见）, 后纪H7（常见）, 后纪A18（常见）, 古纪A9（常见）, 后纪H6（常见）, 中纪K6（常见）, 古纪H7（常见）, 古纪G12（常见）	15
科林斯Prime	枪管	后纪C7（稀有）, 前纪C5（稀有）, 后纪C5（稀有）, 后纪C6（稀有）, 前纪C10（稀有）	45
科林斯Prime	蓝图	前纪S10（常见）, 古纪A4（常见）, 后纪T4（常见）, 古纪T5（常见）, 中纪N18（常见）, 中纪E2（常见）, 前纪I1（常见）, 前纪A6（常见）	15
科林斯Prime	枪机	前纪P4（罕见）, 古纪G11（罕见）, 后纪P4（罕见）, 中纪T5（罕见）, 后纪T7（罕见）, 古纪D3（罕见）, 中纪R4（罕见）	100
科林斯Prime	枪托	古纪C9（稀有）, 后纪C8（稀有）, 前纪C6（稀有）, 古纪C6（稀有）	45
黑鸦Prime	枪管	中纪C4（稀有）, 中纪C5（稀有）, 中纪C2（稀有）, 前纪C9（稀有）	45
黑鸦Prime	蓝图	前纪B8（罕见）, 古纪W3（罕见）, 中纪L2（罕见）, 中纪D5（罕见）, 前纪H8（罕见）, 后纪K7（罕见）	100
黑鸦Prime	枪机	古纪G8（常见）, 后纪G10（常见）, 古纪D6（常见）, 后纪T10（常见）, 前纪A4（常见）, 中纪D7（常见）, 前纪G4（常见）, 后纪K8（常见）	15
